ACTDT,YEAR_COMP,YR_QTR,ACTION,APP_NO,FM,NUMBER,STREET,ST_TYPE,BLOCK,LOT,BLOCKLOT,DESCRIPT,EXT_USE,PROP_USE,AFF_HSG,AFF_TARGET,UNITS,NETUNITS,planning_district_number,planning_district,supervisor_district,analysis_neighborhood,the_geom
2017/10/04,2017,2017_Q4,COMPLETE,201405307098,2,4126,17TH,ST,2623,028,2623028,,,1 FAMILY DWELLING,,,1,1,6,Buena Vista,8,Castro/Upper Market,POINT (-122.437967535916 37.762616837591)
2017/01/10,2017,2017_Q1,COMPLETE,200712120285,2,353,SAN JOSE,AV,6531,022,6531022,CONSTRUCTION OF FOUR-STORY FOUR DWELLING UNITS.,,APARTMENTS,,,4,4,8,Mission,8,Mission,POINT (-122.421090538371 37.749539665099)
2018/02/15,2018,2018_Q1,COMPLETE,201512235846,3,1545,PINE,ST,0667,016,0667016,(FOR RECORD PURPOSES ONLY) P/A#201312033256 FLOOR PLANS 2-12 REPRESENTING A REDUCTION OF UNITS FROM 103 TO 100. CONSTRUCTION DOCUMENTS UNDER APPROVED ADDENDA SCHEDULE FOR NEW CONSTRUCTION.,,APARTMENTS,,,100,-3,3,Northeast,3,Nob Hill,POINT (-122.421224446811 37.789277040877)
2017/01/06,2017,2017_Q1,COMPLETE,201209270765,2,2877,SAN BRUNO,AV,5457,037,5457037,,,2 FAMILY DWELLING,,,2,2,12,South Central,9,Portola,POINT (-122.40246178601 37.725546734725)
2017/03/10,2017,2017_Q1,COMPLETE,201402269346,6,1900,18TH,ST,4008,003,4008003,"DEMOLISH 2 STORIES, 3 FAMILIES DWELLINGS",APARTMENTS,,,,-3,-3,9,South of Market,10,Potrero Hill,POINT (-122.401712073283 37.762569743259)
2018/04/05,2018,2018_Q2,COMPLETE,201503191293,3,3136,BRODERICK,ST,0935,007,0935007,LEGALIZE (E) MULTI-UNIT BUILDING,APARTMENTS,APARTMENTS,,,4,1,2,Marina,2,Marina,POINT (-122.444122202292 37.799383155556)
2016/10/24,2016,2016_Q4,COMPLETE,201409085742,3,568,16TH,AV,1558,028,1558028,LEGALIZATION OF BASEMENT IN-LAW UNIT.,2 FAMILY DWELLING,2 FAMILY DWELLING,,,3,1,1,Richmond,1,Outer Richmond,POINT (-122.474538293619 37.777381441291)
2016/03/29,2016,2016_Q1,COMPLETE,201009070276,2,717,PARIS,ST,6349,021,6349021,"TO ERECT 3 STORIES SINGLE FAMILY RESIDENCE.",,1 FAMILY DWELLING,,,1,1,12,South Central,11,Excelsior,POINT (-122.437814807907 37.717443719411)
2018/04/10,2018,2018_Q2,COMPLETE,201209200274,1,685,FLORIDA,ST,4022,022,4022022,"ERECT 6 STORIES TYPE 3 4 RESIDENTIAL APTS BUILDING.",,APARTMENTS,,,4,4,8,Mission,9,Mission,POINT (-122.410690976956 37.760712448847)
2016/01/19,2016,2016_Q1,COMPLETE,201501216213,2,287,SUMMIT,WY,7331,078,7331078,"TYPE B - ERECT 2-STORY TYPE 5 1 BASEMENT 1 DWELLING UNIT BUILDING.",,1 FAMILY DWELLING,,,1,1,13,Ingleside,7,Lakeshore,POINT (-122.476035226668 37.715036135712)
2017/02/17,2017,2017_Q1,COMPLETE,201412153753,8,497,VALLEY,ST,6621,030,6621030,,VACANT LOT,1 FAMILY DWELLING,,,1,1,7,Central,8,Noe Valley,POINT (-122.4330656494 37.743996553883)
2018/03/20,2018,2018_Q1,COMPLETE,9521150S,2,1257,VALLEJO,ST,0152,033,0152045,ERECT A FOUR STORY TWO UNIT RESIDENTIAL BLDG,,2 FAMILY DWELLING,,,2,2,3,Northeast,3,Russian Hill,POINT (-122.417902209992 37.79715057886)
2017/12/06,2017,2017_Q4,COMPLETE,201406279737,2,901,FAIRFAX,AV,4624,031,4624031,"TO ERECT 5 STORIES NO BASEMENT 72 DWELLING UNITS RESIDENTIAL MULTI-FAMILY COMMERCIAL MIXED USE BLDG.",,APARTMENTS,71,VLI,72,72,10,South Bayshore,10,Bayview Hunters Point,POINT (-122.380734774665 37.735252198128)
2016/12/13,2016,2016_Q4,COMPLETE,201506290143,2,267,SUMMIT,WY,7331,068,7331068,"TO ERECT 2 STORIES 1 BASEMENT SINGLE FAMILY DWELLING.",,1 FAMILY DWELLING,,,1,1,13,Ingleside,7,Lakeshore,POINT (-122.476828364181 37.715000572241)
2017/05/05,2017,2017_Q2,COMPLETE,201202295144,2,420,INNES,AV,4591C,070,4591C070,,,APARTMENTS,,,9,9,10,South Bayshore,10,Bayview Hunters Point,POINT (-122.368658363094 37.728257485138)
2005/04/19,2005,2005_Q2,CFC ISSUED,200501213697,8,879,34TH,AV,1677,010E,1677010E,VERTICAL,,,0,,0,1,1,Richmond,1,Outer Richmond,POINT (-122.494204697286 37.772543438213)
2005/02/18,2005,2005_Q1,CFC ISSUED,200309296022,2,36,LAIDLEY,ST,7538,007,7538007,ERECT A T,,,0,,0,1,7,Central,8,Glen Park,POINT (-122.431960715728 37.741080022031)
2017/06/15,2017,2017_Q2,COMPLETE,201509308471,3,1129,STANYAN,ST,2630,049,2630049,"ADD UNIT PER ORDINANCE #30-15. DWELLING UNIT ADDITION AT GARAGE FLOOR. ADDITION OF A NEW BATHROOM KITCHEN & BEDROOM.",APARTMENTS,APARTMENTS,,,7,1,14,Inner Sunset,5,Inner Sunset,POINT (-122.452752905357 37.763796137655)
2005/06/13,2005,2005_Q2,CFC ISSUED,200108105778,2,50,JULIAN,AV,3547,022,3547022,ERECT 4 S,,,20,EVLI,0,20,8,Mission,9,Mission,POINT (-122.42140955223 37.767251165986)
2016/06/06,2016,2016_Q2,COMPLETE,201305298094,2,1758,12TH,AV,2038A,019,2038A019,ERECT 3-STORY TYPE V SINGLE FAMILY RESIDENCE.,,1 FAMILY DWELLING,,,1,1,14,Inner Sunset,7,Inner Sunset,POINT (-122.468611942709 37.755360479449)
2016/03/24,2016,2016_Q1,COMPLETE,201311051179,3,778,VALLEJO,ST,0130,020,0130020,PROPOSED CONVERSION OF (E) STORAGE TO CONDITION LIVINGS SPACE TO ACCOMADATE ONE ADDITIONAL UNIT @ 1ST & 2ND FLR. PROPOSED IN FILL OF (E) TWO SIDE LIGH WELLS. PROPOSED KITCHEN & BATHROOMS REMODELING AT 3RD FLOOR UNIT AND 4TH FLOOR UNIT.,2 FAMILY DWELLING,APARTMENTS,,,3,1,3,Northeast,3,Chinatown,POINT (-122.410115542345 37.798612472641)
2017/03/31,2017,2017_Q1,COMPLETE,201502198807,8,49,NIAGARA,AV,7031,018,7031018,"remove some drywall to expose areas for engineering review exploratory demo- cover back floor openings exploratory demo future permit needed to comply with complaint #201527215",1 FAMILY DWELLING,1 FAMILY DWELLING,,,1,-1,12,South Central,11,Outer Mission,POINT (-122.442761315685 37.716152158473)
