OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
9330,Divisadero St&Geary Blvd NE-FS/BZ,DIVIGEA1,DIVIGEAR,4421,37.783375,-122.439412,0,GEARY BLVD,DIVISADERO ST,FS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2209004,121,,"(37.78337005655907, -122.43939878083722)",103,4,11,15
10360,Bosworth St&Lippard Ave SW-NS/PS,BOSWLIP0,BOSWLIPP,3699,37.733827,-122.43597,0,LIPPARD AVE,BOSWORTH ST,NS,SW,,0,04/20/2020 11:54:43 AM +0000,2203317,121,,"(37.73382206038596, -122.43595678708697)",96,9,5,41
9180,Silver Ave&Gambier St SW-NS/PS,SILVGAM0,SILVGAMB,6407,37.728748,-122.422786,0,GAMBIER ST,SILVER AVE,NS,SW,,0,04/20/2020 11:54:43 AM +0000,2206807,121,,"(37.728743059844035, -122.42277278964266)",92,9,2,7
10227,Treasure Island Rd&Clipper Cove Way SE-NS/SB,TIRDCLCO,,8000,37.815757,-122.370979,,,AVENUE OF PALMS,,,,,04/20/2020 11:54:43 AM +0000,2210654,121,,"(37.815752048889834, -122.37096578730862)",,1,10,
10483,Castro St&Duboce Ave SE-NS/BZ,CTRODUB1,CTRODUBO,4331,37.76895,-122.43571,0,DUBOCE AVE,CASTRO ST,NS,SE,BZ,1,04/20/2020 11:54:43 AM +0000,2204387,121,,"(37.76894505747522, -122.43569678306233)",28,7,5,5
10361,Haight St&Divisadero St SE-FS/BZ,HAITDIV1,HAITDIVI,4951,37.771231,-122.436743,0,DIVISADERO ST,HAIGHT ST,FS,SE,BZ,1,04/20/2020 11:54:43 AM +0000,2205087,121,,"(37.77122605736295, -122.43672978264378)",26,4,11,3
8688,Castro St&18TH St SW-FS/BB,CTRO18S0,CTRO18ST,4315,37.760863,-122.435048,0,18TH ST,CASTRO ST,FS,SW,BB,0,04/20/2020 11:54:43 AM +0000,2203820,121,,"(37.76085805809237, -122.43503478409787)",38,3,5,5
8814,Cortland Ave&Bocana St SW-NS/BZ,CORTBOC0,CORTBOCN,4146,37.73931,-122.41872,0,BOCANA ST,CORTLAND AVE,NS,SW,BZ,0,04/20/2020 11:54:43 AM +0000,2203572,121,,"(37.73930505867698, -122.41870678903011)",61,9,2,2
9946,Castro St&22ND St NW-NS/PS,CTRO22S0,CTRO22ST,4322,37.75464,-122.43448,0,22ND ST,CASTRO ST,NS,NW,,0,04/20/2020 11:54:43 AM +0000,2207287,121,,"(37.75463505856322, -122.43446678490302)",115,3,5,22
8160,Fillmore St&Haight St SE-NS/BZ,FILLHAIT,FILLHAIT,4620,37.772033,-122.430347,0,WEBSTER ST,HAIGHT ST,FS,SW,,0,04/20/2020 11:54:43 AM +0000,2207293,121,,"(37.77202805682997, -122.43033378350614)",26,4,11,9
9464,Fillmore St&Union St NE-FS/BZ,FILLUNI1,FILLUNIN,4643,37.797391,-122.435489,0,UNION ST,FILLMORE ST,FS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2207296,121,,"(37.797386055120086, -122.43547577979638)",15,4,6,13
8690,Silver Ave&Mission St SE-FS/BZ,SILVMIS0,SILVMISS,6415,37.72866,-122.431217,0,MISSION ST,SILVER AVE,FS,SE,BZ,0,04/20/2020 11:54:43 AM +0000,2208514,121,,"(37.728655060465414, -122.43120378839355)",90,9,1,7
9195,Palou Ave&Phelps St W-NS/PS,PALUPHL0,PALUPHLP,5880,37.7361,-122.39481,0,PHELPS ST,PALOU AVE,NS,W,,0,04/20/2020 11:54:43 AM +0000,2209864,121,,"(37.73609505719948, -122.39479679297493)",87,2,9,1
10555,30th St&Church St NE-NS/BZ,30STCHU1,30STCHUR,3535,37.742159,-122.426369,0,CHURCH ST,30TH ST,NS,NE,BZ,0,04/20/2020 11:54:43 AM +0000,2203455,121,,"(37.74215405899976, -122.4263557875581)",84,9,5,22
7422,Middle Point Rd&West Point Rd SW-FS,MDPTWPT3,MDPTWPTS,5504,37.73502,-122.37947,0,WEST POINT RD,MIDDLE POINT RD,FS,SW,,0,04/20/2020 11:54:43 AM +0000,2205443,121,,"(37.73501505617105, -122.37945679539416)",86,2,9,1
8218,Steiner St&Green St SE-NS/PS,STEIGRE1,STEIGREN,6487,37.795859,-122.436863,0,GREEN ST,STEINER ST,NS,SE,,0,04/20/2020 11:54:43 AM +0000,2208718,121,,"(37.79585405534647, -122.43684977976906)",102,4,6,13
7908,Church St&Duboce Ave NW-NS/BZ,CHURDUB0,CHURDUBO,4005,37.769499,-122.429167,0,DUBOCE AVE,CHURCH ST,NS,NW,SI,0,04/20/2020 11:54:43 AM +0000,2203698,121,,"(37.76949405695233, -122.42915378397605)",28,7,5,9
8816,O'Farrell St&Larkin St SE-FS/BZ,OFARLAR1,OFARLARK,5813,37.785138,-122.4177,0,LARKIN ST,OFARRELL ST,FS,SE,BZ,0,04/20/2020 11:54:43 AM +0000,2206032,121,,"(37.785133054827654, -122.41768678387638)",20,5,10,36
8324,Geary Blvd&33RD Ave SW-NS/BZ,GEAR33A1,GEAR33AV,4279,37.779574,-122.493399,0,33RD AVE,GEARY BLVD,NS,SW,BZ,1,04/20/2020 11:54:43 AM +0000,2209579,121,,"(37.77956906081609, -122.49338577322317)",8,8,4,29
8565,Castro St&24TH St SE-NS/BZ,CTRO24S1,CTRO24ST,4326,37.7512,-122.43401,0,24TH ST,CASTRO ST,NS,SE,BZ,0,04/20/2020 11:54:43 AM +0000,2206490,121,,"(37.75119505881217, -122.43399678537124)",84,3,5,22
10815,30th St&Sanchez St SW-NS/PS,30STSNC0,30STSNCZ,3544,37.74191,-122.42902,0,SANCHEZ ST,30TH ST,NS,SW,,0,04/20/2020 11:54:43 AM +0000,2203116,121,,"(37.741905059213515, -122.42900678719083)",59,9,5,10
10560,Mission St&20th St NE-FS/BZ,MISS20S1,MISS20ST,5557,37.75911,-122.41902,0,20TH ST,MISSION ST,FS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2205601,121,,"(37.759105057067245, -122.41900678669516)",53,3,2,20
8959,Market St&3rd St E-FS/BZ,MRKT.3ST,MRKT.3ST,5641,37.787667,-122.403359,0,GEARY ST,MARKET ST,NS,S,BZ,0,04/20/2020 11:54:43 AM +0000,2206153,121,,"(37.787662053571545, -122.40334578572674)",32,6,3,8
7913,Mission St&Appleton Ave E-FS/BZ,MISSAPT1,MISSAPTN,5577,37.738867,-122.423871,0,APPLETON AVE,MISSION ST,FS,E,BZ,0,04/20/2020 11:54:43 AM +0000,2205543,121,,"(37.73886205908896, -122.42385778831175)",61,9,2,2
10992,Newcomb Ave&La Salle Ave E-FS/PS,NEWCLSA0,NEWCLSAL,5488,37.733044,-122.384858,0,LA SALLE AVE,NEWCOMB AVE,FS,E,,0,04/20/2020 11:54:43 AM +0000,2205437,121,,"(37.73303905672677, -122.38484479481633)",86,2,9,1
