OBJECTID,CNN,CNNTEXT,ST_NAME1,ST_TYPE1,ST_NAME2,ST_TYPE2,ST_NAME3,ST_TYPE3,ST_NAME4,ST_TYPE4,TOTEMP2,UNIVPROX,SIGNALIZED,PKGMETERS,MAXPCTSLPE,MODEL6_VOL,HH_PEDMODE,PCOL_04_09,PCOL_RATE,point
2166,33673000,33673000,BAY SHORE,BLVD,MARENGO,ST, , , , ,5662,0,0,0,4,298436,1275,0,0,POINT (-122.4069157431717 37.738455725335555)
646,23037000,23037000,JUAN BAUTIST,CIR,DIAZ,AVE, , , , ,1028,1,0,0,7,728306,1804,0,0,POINT (-122.47717379095666 37.718014352408325)
894,21688000,21688000,LISBON,ST,AVALON,AVE, , , , ,602,0,0,0,14,159317,1519,0,0,POINT (-122.43007950787515 37.72666325974052)
70,33358000,33358000,UNNAMED 070,0,BRUNSWICK,ST, , , , ,426,0,0,0,5,96427,1407,0,0,POINT (-122.4395886766632 37.7116151739806)
5597,27887000,27887000,39TH,AVE,BALBOA,ST, , , , ,674,0,0,0,13,1064080,1922,1,1.88,POINT (-122.49945481050077 37.775617867658)
7661,20954000,20954000,UNIVERSITY,ST,FELTON,ST, , , , ,1129,0,0,0,21,251085,1029,0,0,POINT (-122.41446025231109 37.72745692809205)
5158,32854000,32854000,HAGIWARA TEA,DR,CONCOURSE,DR, , , , ,421,0,0,1,30,336344,8,0,0,POINT (-122.4692932903243 37.77017245886112)
6690,24741000,24741000,GRANT,AVE,BUSH,ST, , , , ,35781,0,1,1,8,9911875,3264,2,0.40000001,POINT (-122.4055737455642 37.79056523748131)
2202,22847000,22847000,ULLOA,ST,KENSINGTON,WAY, , , , ,395,0,0,0,20,114211,777,0,0,POINT (-122.45983994876474 37.7410611244589)
4159,23835000,23835000,ZOE,ST,FREELON,ST, , , , ,1362,0,0,0,4,2244547,1947,0,0,POINT (-122.39583533246785 37.779720604761515)
3025,23484000,23484000,42ND,AVE,PACHECO,ST, , , , ,847,0,0,0,25,278450,1062,0,0,POINT (-122.50085746611906 37.74942491546665)
5649,25834000,25834000,ALBION,ST,15TH,ST, , , , ,1094,0,0,0,9,502434,2420,0,0,POINT (-122.42328145601914 37.766464792166026)
1325,51617000,51617000,SPEAR,AVE,C,ST, , , , ,630,0,0,0,3,332027,0,0,0,POINT (-122.36287092517442 37.726572270815524)
1668,21009000,21009000,BARNEVELD,AVE,SWEENY,ST, , , , ,580,0,0,0,33,303563,991,0,0,POINT (-122.40728352200092 37.73315926681489)
5721,26127000,26127000,CORBETT,AVE,COPPER,ALY, , , , ,973,0,0,0,12,11301,2044,0,0,POINT (-122.44351311501063 37.757015898989444)
6717,23580000,23580000,EL DORADO,ST,ILLINOIS,ST, , , , ,1090,1,0,0,5,703216,46,0,0,POINT (-122.38829269854877 37.768251080088454)
1039,22665000,22665000,PICO,AVE,ASHTON,AVE, , , , ,890,1,0,0,6,589821,1138,0,0,POINT (-122.46227636434641 37.724270606356484)
2825,33363000,33363000,26TH,ST,SAN JOSE,AVE, , , , ,460,0,0,0,25,1694687,2771,0,0,POINT (-122.42128446070248 37.74885044230728)
5087,30742000,30742000,07TH,ST,MARKET,ST,CHARLES J BR,PL, , ,1754,0,1,0,9,13013425,6609,8,1.23000002,POINT (-122.41251225553047 37.780478511972206)
2633,21954000,21954000,LAIDLEY,ST,HARRY,ST,NOE,ST, , ,733,0,0,0,9,22382,1649,0,0,POINT (-122.43074128186348 37.740423598243844)
4729,26041000,26041000,HAYES,ST,STEINER,ST, , , , ,577,0,0,0,10,340318,4112,0,0,POINT (-122.43282972783106 37.77562608895115)
3877,26700000,26700000,CHESTNUT,ST,FRANKLIN,ST, , , , ,2868,0,1,0,14,2009899,4302,0,0,POINT (-122.42637734438924 37.802071871604696)
4353,25738000,25738000,NOE,ST,24TH,ST, , , , ,4174,0,0,0,11,1183062,2399,0,0,POINT (-122.43187668451746 37.75143715955187)
1589,20136000,20136000,PALOU,AVE,INGALLS,ST, , , , ,425,0,0,0,16,124385,1216,0,0,POINT (-122.38343118327468 37.72973755266148)
1504,20530000,20530000,FLORA,ST,BAY VIEW,ST, , , , ,1107,0,0,0,4,170413,1400,1,11.73999977,POINT (-122.39412709395155 37.732743243660245)
4366,25946000,25946000,MCALLISTER,ST,LAGUNA,ST, , , , ,1456,0,0,1,9,585470,2741,2,6.82999992,POINT (-122.42682855645022 37.77925797119912)
2455,21335000,21335000,FAIR,AVE,PETERS,AVE, , , , ,1046,0,0,0,10,497733,2286,0,0,POINT (-122.41929426519727 37.74535638315648)
811,22102000,22102000,SAN JOSE,AVE,OCEAN,AVE, , , , ,385,1,1,0,6,1536206,511,2,2.5999999,POINT (-122.4447466251592 37.72296657176157)
5156,25998000,25998000,CARMELITA,ST,WALLER,ST, , , , ,349,0,0,1,11,461924,3703,0,0,POINT (-122.43440451263199 37.770646049053965)
6393,27961000,27961000,IRVING,ST,LA PLAYA,0, , , , ,8052,0,0,0,2,434285,1444,0,0,POINT (-122.50926907972493 37.76214292163933)
7158,51293000,51293000,SHERIDAN,AVE,UNNAMED 001,0,UNNAMED 015,0, , ,9741,0,0,0,13,108453,19,0,0,POINT (-122.46522943000924 37.79819124182706)
5459,25330000,25330000,COLUMBUS,AVE,GRANT,AVE, , , , ,1333,0,0,1,24,2234488,5436,0,0,POINT (-122.40708292587334 37.79815205695173)
