CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
0,,,,,,15,true,,,,,,,"LINESTRING (-122.41218468009401 37.75582756783955, -122.41203405430194 37.7542253879606)"
111000,01ST,ST,,FOLSOM ST,GUY PL,25,,,,,,,,"LINESTRING (-122.39446806109709 37.78729326795326, -122.39390772823268 37.78684681994905)"
104000,01ST,ST,,MISSION ST,MINNA ST,25,,,,,,,,"LINESTRING (-122.3975612543486 37.78975765097622, -122.39702158147918 37.78932770397223)"
106000,01ST,ST,,NATOMA ST,HOWARD ST,25,,,,,,,,"LINESTRING (-122.39655755259147 37.78895801696876, -122.39602155172119 37.7885309829648)"
113000,01ST,ST,,LANSING ST,HARRISON ST,25,,,,,,,,"LINESTRING (-122.39343152134795 37.78646739094557, -122.39292347347089 37.78606258494178)"
105000,01ST,ST,,MINNA ST,NATOMA ST,25,,,,,,,,"LINESTRING (-122.39702158147918 37.78932770397223, -122.39655755259147 37.78895801696876)"
112000,01ST,ST,,GUY PL,LANSING ST,25,,,,,,,,"LINESTRING (-122.39390772823268 37.78684681994905, -122.39343152134795 37.78646739094557)"
107000,01ST,ST,,HOWARD ST,TEHAMA ST,25,,,,,,,,"LINESTRING (-122.39602155172119 37.7885309829648, -122.39546473685591 37.78808723596066)"
110000,01ST,ST,,CLEMENTINA ST,FOLSOM ST,25,,,,,,,,"LINESTRING (-122.39499462796971 37.78771266795718, -122.39446806109709 37.78729326795326)"
101000,01ST,ST,,STEVENSON ST,JESSIE ST,25,,,,,,,,"LINESTRING (-122.39857629710295 37.79056627798382, -122.39814647820695 37.79022384798062)"
102000,01ST,ST,,JESSIE ST,ELIM ST,25,,,,,,,,"LINESTRING (-122.39814647820695 37.79022384798062, -122.39792535826047 37.79004772097894)"
109000,01ST,ST,,TENNY PL,CLEMENTINA ST,25,,,,,,,,"LINESTRING (-122.39540793886967 37.78804201096021, -122.39499462796971 37.78771266795718)"
108000,01ST,ST,,TEHAMA ST,TENNY PL,25,,,,,,,,"LINESTRING (-122.39546473685591 37.78808723596066, -122.39540793886967 37.78804201096021)"
103000,01ST,ST,,ELIM ST,MISSION ST,25,,,,,,,,"LINESTRING (-122.39792535826047 37.79004772097894, -122.3975612543486 37.78975765097622)"
100000,01ST,ST,,MARKET ST,STEVENSON ST,25,,,,,,,,"LINESTRING (-122.39913538496765 37.79101170198802, -122.39857629710295 37.79056627798382)"
127000,02ND,AVE,,LINCOLN WAY,HUGO ST,0,,,,,,,,"LINESTRING (-122.45893367090547 37.766250665393244, -122.4588673120256 37.76529937946657)"
118000,02ND,AVE,,START: 1-99 BLOCK,LAKE ST,0,,,,,,,,"LINESTRING (-122.46041867924973 37.787243984776865, -122.46039097629834 37.786860815806286)"
129000,02ND,ST,,MARKET ST,STEVENSON ST,0,,,,,,,,"LINESTRING (-122.40136227783798 37.78925937629505, -122.40079908897428 37.788810550290826)"
149000,02ND,ST,,KING ST,BERRY ST,0,,,,,,,,"LINESTRING (-122.38957748469112 37.77985633920891, -122.3888562518647 37.77928959620292)"
137000,02ND,ST,,CLEMENTINA ST,FOLSOM ST,0,,,,,,,,"LINESTRING (-122.3972212468401 37.78595904426434, -122.3966919639682 37.78553718326042)"
119000,02ND,AVE,,LAKE ST,CALIFORNIA ST,0,,,,,,,,"LINESTRING (-122.46039097629834 37.786860815806286, -122.46029502246668 37.785533612908324)"
140000,02ND,ST,,HARRISON ST,STILLMAN ST,0,,,,,,,,"LINESTRING (-122.39514740934202 37.78430606524901, -122.39413730258671 37.78349856224177)"
124000,02ND,AVE,,ANZA ST,BALBOA ST,0,,,,,,,,"LINESTRING (-122.45984715225923 37.779277687389474, -122.45971160049429 37.777424921531775)"
136000,02ND,ST,,TEHAMA ST,CLEMENTINA ST,0,,,,,,,,"LINESTRING (-122.39769127172639 37.78633366826778, -122.3972212468401 37.78595904426434)"
147000,02ND,ST,,BRANNAN ST,TOWNSEND ST,0,,,,,,,,"LINESTRING (-122.39206423708899 37.78184122322689, -122.39051402146458 37.78060181021582)"
145000,02ND,ST,,SOUTH PARK,DE BOOM ST,0,,,,,,,,"LINESTRING (-122.39282839590388 37.78245215323237, -122.39259943295932 37.782269102230764)"
132000,02ND,ST,,MISSION ST,MINNA ST,0,,,,,,,,"LINESTRING (-122.39978481021974 37.78800221428331, -122.39924183535055 37.787574331278904)"
126000,02ND,AVE,,CABRILLO ST,FULTON ST,0,,,,,,,,"LINESTRING (-122.4595752787307 37.77556151867493, -122.4594728969082 37.77416199278244)"
134000,02ND,ST,,NATOMA ST,HOWARD ST,0,,,,,,,,"LINESTRING (-122.39877638646374 37.787198516275865, -122.39824374959267 37.78677400327187)"
122000,02ND,AVE,,CLEMENT ST,GEARY BLVD,0,,,,,,,,"LINESTRING (-122.46012397777089 37.783131546093124, -122.45998643601449 37.78120853624099)"
135000,02ND,ST,,HOWARD ST,TEHAMA ST,0,,,,,,,,"LINESTRING (-122.39824374959267 37.78677400327187, -122.39769127172639 37.78633366826778)"
130000,02ND,ST,,STEVENSON ST,JESSIE ST,0,,,,,,,,"LINESTRING (-122.40079908897428 37.788810550290826, -122.40033063608766 37.788437216287385)"
123000,02ND,AVE,,GEARY BLVD,ANZA ST,0,,,,,,,,"LINESTRING (-122.45998643601449 37.78120853624099, -122.45984715225923 37.779277687389474)"
125000,02ND,AVE,,BALBOA ST,CABRILLO ST,0,,,,,,,,"LINESTRING (-122.45971160049429 37.777424921531775, -122.4595752787307 37.77556151867493)"
131000,02ND,ST,,JESSIE ST,MISSION ST,0,,,,,,,,"LINESTRING (-122.40033063608766 37.788437216287385, -122.39978481021974 37.78800221428331)"
128000,02ND,AVE,,HUGO ST,IRVING ST,0,,,,,,,,"LINESTRING (-122.4588673120256 37.76529937946657, -122.45880184814408 37.764360919538944)"
133000,02ND,ST,,MINNA ST,NATOMA ST,0,,,,,,,,"LINESTRING (-122.39924183535055 37.787574331278904, -122.39877638646374 37.787198516275865)"
141000,02ND,ST,,STILLMAN ST,BRYANT ST,0,,,,,,,,"LINESTRING (-122.39413730258671 37.78349856224177, -122.39360486271573 37.78307290723793)"
142000,02ND,ST,,BRYANT ST,TABER PL,0,,,,,,,,"LINESTRING (-122.39360486271573 37.78307290723793, -122.39328400879347 37.78281639823563)"
143000,02ND,ST,,TABER PL,FEDERAL ST,0,,,,,,,,"LINESTRING (-122.39328400879347 37.78281639823563, -122.39306926284553 37.782644718234096)"
144000,02ND,ST,,FEDERAL ST,SOUTH PARK,0,,,,,,,,"LINESTRING (-122.39306926284553 37.782644718234096, -122.39282839590388 37.78245215323237)"
146000,02ND,ST,,DE BOOM ST,BRANNAN ST,0,,,,,,,,"LINESTRING (-122.39259943295932 37.782269102230764, -122.39206423708899 37.78184122322689)"
148000,02ND,ST,,TOWNSEND ST,KING ST,0,,,,,,,,"LINESTRING (-122.39051402146458 37.78060181021582, -122.38957748469112 37.77985633920891)"
138000,02ND,ST,,FOLSOM ST,DOW PL,0,,,,,,,,"LINESTRING (-122.3966919639682 37.78553718326042, -122.39588248816408 37.78489198225443)"
139000,02ND,ST,,DOW PL,HARRISON ST,0,,,,,,,,"LINESTRING (-122.39588248816408 37.78489198225443, -122.39514740934202 37.78430606524901)"
121000,02ND,AVE,,CORNWALL ST,CLEMENT ST,0,,,,,,,,"LINESTRING (-122.46025637853418 37.78500133994918, -122.46012397777089 37.783131546093124)"
120000,02ND,AVE,,CALIFORNIA ST,CORNWALL ST,0,,,,,,,,"LINESTRING (-122.46029502246668 37.785533612908324, -122.46025637853418 37.78500133994918)"
167000,03RD,ST,,MINNA ST,HOWARD ST,25,,,,,,,,"LINESTRING (-122.4014766212194 37.785824267586335, -122.40045527046479 37.78502533757755)"
165000,03RD,ST,,JESSIE ST,MISSION ST,25,,,,,,,,"LINESTRING (-122.40256201395862 37.786673262595706, -122.40201220609069 37.78624320559095)"
210101,03RD,ST,,MCKINNON AVE,NEWCOMB AVE,25,,,,,,,,"LINESTRING (-122.39013184463904 37.736385251835635, -122.39010287365862 37.73625291284444, -122.39030814369575 37.73566623590781, -122.39040305769088 37.735585577921405)"
213201,03RD,ST,,PALOU AVE,QUESADA AVE,25,,,,,,,,"LINESTRING (-122.39095468379048 37.734008929091736, -122.39105392478496 37.733928001105674, -122.39125095882055 37.73336482116649, -122.3912312868404 37.73321831917721)"
212101,03RD,ST,,OAKDALE AVE,PALOU AVE,25,,,,,,,,"LINESTRING (-122.39068056574098 37.73479241600713, -122.39066225875969 37.73465412501715, -122.39086077279552 37.7340867270785, -122.39095468379048 37.734008929091736)"
